doi,q1_climate_neutrality,q1_comment,q2_comment,q2_region,q3_comment,q3_sector,q3_sector_comment,q4_comment,q4_method
10.1039/d5se00186b,unclear,"The CIGG system is described as 'climate-beneficial' with in situ CCS, but the abstract does not explicitly establish that it IS climate-neutral/net-zero. It proposes a 'route to net zero' and mentions energy/mass balance analysis, but does not definitively demonstrate zero net emissions.",,no,,yes,,,yes
10.1117/12.3005148,no,,,yes,,yes,,,yes
10.13227/j.hjkx.202501263,no,,,yes,,yes,,,yes
10.1016/j.esr.2024.101366,no,,,yes,,yes,,,yes
10.1186/s13021-025-00314-3,no,The paper forecasts scenarios but does not achieve climate neutrality; conclusions state emissions will exceed sink capacity by 2060 with a remaining gap of 21.22-63.28 million tons.,,yes,,yes,,,yes
10.1088/1748-9326/adaed5,no,,,yes,,yes,,,yes
10.3390/en17236129,no,,,no,,yes,,,no
10.3390/en15051724,no,"While carbon neutrality is mentioned as background motivation, the abstract does not provide or assess an actual climate-neutral pathway or system configuration. It analyzes factors influencing straw energy use, not a climate-neutral system.",,yes,,yes,,"Quantitative modeling (ridge regression with panel data) is present, but it analyzes relationships between variables and straw energy utilization, not to generate climate-neutral pathways or scenarios.",no
10.1016/j.jenvman.2023.119098,yes,,,yes,"Abstract discusses 'all sectors' and mentions residential/trade/transportation within the municipality, but does not explicitly name the required sectors (energy, industry, agriculture, forestry, land use, AFOLU).",unclear,,,yes
10.1016/j.ecolind.2021.108199,no,,,yes,,yes,,,yes
10.1016/j.egyr.2025.01.018,no,,,yes,,yes,,,yes
10.1016/j.solener.2020.06.089,no,"The abstract compares two systems and shows the solar system performs better across impact categories, but does not claim either system achieves climate neutrality or net zero emissions.",,yes,,yes,,,yes
10.3390/en18215655,unclear,"Scenarios show emission reductions and aim to 'support' Türkiye's 2053 net-zero target, but it is not stated that any modeled scenario actually achieves net-zero emissions.",,yes,,yes,,,yes
10.1109/CIEES62939.2024.10811224,no,,,yes,,yes,,,yes
10.3390/engproc2025108041,no,,,yes,,yes,,,no
10.5846/stxb202112053440,unclear,"Abstract discusses modeling carbon sequestration and emissions separately, but does not explicitly demonstrate that the pathway or system configuration IS actually climate-neutral or achieves net zero balance.",,yes,,yes,,,yes
10.1360/TB-2022-0612,no,,,yes,,yes,,,no
10.1057/s41599-025-05145-8,no,"The study examines current emissions and carbon intensity trends but does not present an assessed/modeled climate-neutral pathway or system configuration. Results show 'fluctuating growth in net emissions,' not a demonstrated neutral pathway.",,yes,,yes,,,yes
10.1016/j.rser.2023.113145,yes,,,yes,,yes,,,yes
10.1016/j.eneco.2023.106916,no,,,yes,,yes,,,no
10.1007/s11081-022-09722-7,unclear,"The model optimizes 'toward carbon neutrality' but no actual carbon-neutral pathway or configuration is assessed/modeled — it remains a directional goal, not a demonstrated outcome.",,yes,,yes,,,yes
10.12006/j.issn.1673-1719.2024.310,no,,,yes,,yes,,,no
10.16085/j.issn.1000-6613.2022-0395,no,,,yes,,yes,,,no
10.1007/978-3-032-09844-3_6,yes,,,yes,,yes,,,yes
10.1016/j.ecolind.2025.113814,no,"Abstract discusses low-carbon scenarios and carbon peaking by 2030, but does not model or provide a pathway to climate neutrality or net zero. Explicitly states land-based carbon sequestration remains substantially lower than emissions.",,yes,,yes,,,yes
10.25283/2223-4594-2025-3-95-102,no,Abstract examines whether carbon neutrality is possible but concludes that forest projects alone cannot achieve it. A comprehensive approach is mentioned as needed but not actually described or assessed.,,yes,,yes,,,yes
10.1007/s11769-025-1590-6,no,,,yes,,yes,,,no
10.1109/SUSTAINED63638.2024.11074108,no,,,no,"Paper focuses on transportation/traffic sector; specified sectors are energy, industry, agriculture, forestry, land use, or AFOLU.",no,,,yes
10.18796/0041-5790-2021-10-19-23,no,,,yes,,yes,,"Paper mentions 'stress scenario' development for coal reduction strategy and cost estimates (40-80 EUR/tCO2 eq), but it's ambiguous whether quantitative modeling was actually conducted versus merely proposed.",unclear
10.1016/j.oneear.2025.101520,no,,,yes,,yes,,,yes
10.1016/j.eiar.2025.108203,yes,,,yes,,yes,,,yes
10.3390/en18071624,no,"The paper discusses revenue forecasting for multi-energy stations and mentions carbon neutrality as a goal, but does not present or assess an actual climate-neutral pathway or system configuration.",,yes,,yes,,"The study includes quantitative machine learning modeling, but it is for revenue forecasting, not for generating climate neutral pathways or systems.",no
10.4028/p-lKc7On,no,,,yes,,yes,,,yes
10.1139/cjfr-2020-0471,no,,,yes,,yes,,,no
10.3969/j.issn.1000-6532.2022.02.002,no,,,yes,,yes,,,no
10.3390/en14237842,yes,,,yes,,yes,,,yes
10.1016/j.esr.2026.102096,no,,,yes,,yes,,,yes
10.1016/j.energy.2025.138288,no,"Paper assesses water demands for PV expansion and carbon mitigation potential, but does not present a climate-neutral pathway or system configuration.",,yes,,yes,,,yes
10.1016/j.eneco.2024.107672,unclear,"The model enforces carbon neutrality as a constraint, but results show large biopower increases could compromise carbon neutrality — it is not confirmed that a climate-neutral pathway is actually achieved.",,yes,,yes,,,yes
10.1016/j.ecolind.2021.108499,no,,,yes,,yes,,,yes
10.19705/j.cnki.issn2096-5125.2022.01.010,unclear,"Title mentions 'Carbon Neutrality Pathway' and abstract outlines path to carbon neutrality goals with specific measures across sectors, but does not explicitly confirm quantitative modeling or assessment of whether the pathway achieves climate neutrality by 2050.",,yes,,yes,,,no
10.1016/j.scitotenv.2023.166123,no,,,yes,,yes,,,yes
10.1016/j.petsci.2022.12.003,no,,,yes,,yes,,,no
10.1134/S0040601524010051,yes,,,yes,,yes,,,yes
10.1016/j.glt.2022.08.001,yes,,,yes,,yes,,,yes
10.1088/1748-9326/aca9e1,yes,,,yes,,yes,,,yes
10.1016/j.jenvman.2025.127347,yes,,,yes,,yes,,,yes
10.11654/jaes.2022-0477,no,,,yes,,yes,,,yes
10.17521/cjpe.2023.0139,no,"While the abstract assesses and models carbon balance toward a carbon neutrality goal, it does not describe an actual climate-neutral pathway or configuration. The 2016-2020 sink-to-emission ratio is only 54%, showing emissions are not neutralized.",,yes,,yes,,,yes
10.1016/j.biortech.2023.128718,no,,,yes,,yes,,,yes
10.1080/17538947.2025.2544964,no,,,yes,,yes,,,yes
10.3389/fenvs.2022.847719,no,,,yes,,yes,,,yes
10.1109/IYCE60333.2024.10634934,no,,,yes,,yes,,,yes
10.26599/PBM.2023.9260027,yes,,,yes,,yes,,,yes
10.1177/21582440231184044,no,,,yes,,yes,,"The study uses quantitative modeling (ARDL technique) but investigates relationships between energy consumption and environmental impacts, not specifically to generate or model climate-neutral pathways or systems.",no
10.2139/ssrn.3817276,yes,,,yes,,yes,,,yes
10.1016/j.enbuild.2014.02.049,no,,,yes,,yes,,,yes
10.48084/etasr.11816,yes,,,yes,,yes,,,yes
nan,yes,"The abstract mentions the EU's 2050 net-zero goal as context, but does not present a climate-neutral pathway or system. The study assesses biomass potential and bioenergy capacity without demonstrating that the assessed system achieves climate neutrality.",,yes,,yes,,,yes
10.1007/978-3-031-16470-5_13,yes,,,yes,,yes,,,yes
10.1016/j.egyr.2024.09.066,no,,,yes,,yes,,,yes
10.3864/j.issn.0578-1752.2025.18.010,no,,,yes,,yes,,,yes
10.1080/14693062.2017.1340257,unclear,"The abstract discusses the 'Mid-Century Strategy for Deep Decarbonization' with targets in 2050, but does not explicitly confirm that these targets achieve climate neutrality or net zero emissions.",,yes,,yes,,,yes
10.3390/pr14020347,unclear,"Abstract discusses a pathway modeling China's dual carbon goals with 17.5 Gt CO2 reduction, but does not explicitly state the modeled pathway achieves climate neutrality or net zero status—only that it reduces emissions.",,yes,,yes,,,yes
10.3389/fsufs.2024.1492883,no,Abstract assesses green efficiency and decoupling trends but does not provide evidence that the analyzed system configuration IS climate-neutral.,,yes,,yes,,,yes
10.1021/acs.est.3c06866,yes,,,no,,yes,,,yes
10.1177/0958305X241230622,no,,,yes,,yes,,"The abstract uses quantitative modeling (CS-ARDL) to analyze the relationship between renewable energy consumption and agricultural productivity, not to generate or assess climate-neutral pathways or systems.",no
10.1021/acsomega.4c00273,yes,,,no,,yes,,,yes
10.1016/j.jclepro.2024.140677,no,,,yes,,yes,,,yes
10.3997/2214-4609.202577045,no,,,yes,,yes,,,no
10.4324/9781003273172,yes,,,yes,,yes,,,yes
10.1109/ICEEI59426.2023.10346794,yes,,,yes,,yes,,,yes
10.1016/j.scitotenv.2022.156843,no,,,yes,,yes,,,yes
10.1016/j.techfore.2021.121255,no,,,yes,,yes,,"Quantitative methods used are for credit rating forecasting, not for generating or assessing climate-neutral pathways.",no
10.1007/978-3-031-51579-8_12,yes,,,no,,yes,,,yes
10.1109/ICUE63019.2024.10795592,no,,,yes,,yes,,,yes
10.1201/9781032686899,no,"While 'net zero targets' appear in the title, the abstract only describes topics covered in a book without assessing or modeling an actual climate-neutral pathway or system configuration.",,no,,yes,,"This is a book description listing topics, not a research paper presenting quantitative modeling or scenario processes to generate climate-neutral pathways.",no
10.1016/j.esd.2025.101674,no,,,yes,,yes,,,yes
10.1111/gcbb.12143,no,,,yes,,yes,,,yes
10.1016/j.spc.2025.09.005,no,,,yes,,yes,,,yes
10.3390/buildings13030829,no,"Title mentions 'carbon-neutral society' as aspiration, but abstract describes energy cost reduction via trading optimization, not a pathway that is actually climate-neutral.","No specific geographic region (country, city, state, province) is mentioned; work is presented generically.",no,,yes,,"Scenario-based simulations are used, but to optimize electricity costs, not to model climate-neutral pathways.",no
10.1007/978-981-97-0372-2_57,no,,,yes,,yes,,,no
10.1016/j.scitotenv.2025.180689,yes,,,yes,,yes,,,yes
10.1080/15435075.2024.2414226,no,,,yes,,yes,,,no
10.1016/j.esd.2024.101575,no,"The modeled pathway reduces emissions to 29.44 million tons in 2050, which is not climate-neutral. While the text mentions 'net zero-carbon transition,' the actual assessment shows residual emissions, not zero.",,yes,,yes,,,yes
10.1109/SIEDS55548.2022.9799349,yes,,,yes,,yes,,,yes
10.1016/j.scitotenv.2022.160035,no,,,yes,,yes,,,no
10.4271/2025-01-8787,no,,,no,,yes,,,yes
10.3787/j.issn.1000-0976.2021.06.019,no,"The paper calculates low-carbon efficiency and discusses carbon neutrality as a goal, but does not present or model an actual climate-neutral pathway or system configuration.",,yes,,yes,,,yes
10.3390/f15111943,no,"The study forecasts wood consumption and references climate goals, but does not present or model a climate-neutral pathway or system configuration.",,yes,,yes,,,yes
10.3389/fenvs.2024.1353107,no,,,yes,,yes,,,yes
10.1016/j.energy.2025.134692,yes,,,yes,,yes,,,yes
10.1016/j.agsy.2023.103772,no,The paper develops a modeling tool for simulating cattle herd dynamics but does not present or assess an actual climate-neutral pathway or system configuration.,,yes,,yes,,,yes
10.1007/978-3-031-82407-4_9,no,"While biomass is mentioned as carbon-neutral, the abstract presents only a preliminary technological analysis of Rankine cycle configurations, not an assessed or modeled complete climate-neutral pathway or system.",,no,,yes,,,yes
10.3390/land14040888,no,,,yes,,yes,,,no
10.1016/j.esr.2021.100637,yes,,,yes,,yes,,,yes
10.1109/JSTARS.2025.3595540,no,,,yes,,yes,,"Study uses quantitative modeling (VAR, K-means clustering) for emissions identification/quantification, not for generating climate-neutral pathways.",no
10.19912/j.0254-0096.tynxb.2021-0837,no,The abstract proposes a conceptual framework (Eco-PV pattern) aligned with China's neutrality targets but does not provide an actual assessed/modeled climate-neutral pathway or system configuration.,,yes,,yes,,,yes
10.1016/j.array.2025.100639,no,,,yes,,yes,,"Study includes quantitative modeling and scenario analysis, but for forecasting emissions, not for generating climate-neutral pathways. Scenarios yield only modest reductions and authors underscore need for system-level action.",no
10.1016/j.scitotenv.2024.174665,no,,,yes,,yes,,,yes
10.1016/j.rser.2025.115744,no,,,yes,,yes,,,no
10.1111/gcbb.13128,no,,,yes,,yes,,,yes
10.1088/1748-9326/ae0053,yes,,,yes,,yes,,,yes
10.1088/1748-9326/acf146,yes,,,yes,,yes,,,yes
10.1016/j.jmse.2025.03.001,yes,,,yes,,yes,,,yes
10.12302/j.issn.1000-2006.202405021,yes,,,yes,,yes,,,yes
10.1007/s11270-025-07934-y,no,,,yes,,no,,,no
10.1016/j.joule.2021.12.013,unclear,"Title promises 'net-zero-carbon' SAF and mentions 'carbon-negative crude oil,' but this is primarily author bios without describing an actual assessed pathway or modeling study.","Text mentions work 'across the US and globe,' which is global scope, not specific region.",no,Addresses energy sector (aviation fuel production from biomass feedstocks).,yes,,"Abstract is author background; no quantitative modeling, scenarios, or methodological approach is described.",no
10.1016/j.jclepro.2020.121835,no,,,yes,,yes,,,yes
10.1016/j.wasman.2008.08.031,no,,,yes,,yes,,,yes
10.3390/en15093039,no,,,yes,,yes,,,no
10.1016/j.enpol.2020.111917,yes,,,yes,,yes,,,yes
10.3389/fenvs.2022.1044928,no,"The abstract analyzes economic values of different land use scenarios and mentions carbon reduction effects, but does not establish or propose an actual climate-neutral pathway or system configuration.",,yes,,yes,,,yes
10.1016/j.eti.2025.104657,no,"Abstract discusses CO₂ emissions reduction through biochar optimization, but does not present a complete climate-neutral pathway or system configuration.",,yes,,yes,,,yes
10.1016/j.jenvman.2025.124368,no,"Abstract analyzes eco-environmental pressure and uses carbon footprints, but does not assess or model climate-neutral pathways or configurations. No mention of climate neutrality, net zero, or carbon neutrality goals.",,yes,"Abstract analyzes environmental footprints and eco-environment pressure at regional scale but does not explicitly mention any of the required sectors (energy, industry, agriculture, forestry, land use, AFOLU).",unclear,,,yes
10.1002/eej.23396,yes,,,yes,,yes,,,yes
10.1007/s10098-026-03416-9,no,,,no,,yes,,,yes
10.1007/s10765-018-2382-3,no,,,yes,,yes,,"Experiments and simulations present but focused on moisture measurement accuracy, not on generating climate-neutral pathways or systems.",no
10.1016/j.scitotenv.2023.163710,no,,,yes,,yes,,,no
10.1016/j.jclepro.2025.146196,no,"The abstract presents decarbonization pathways with reductions (38-61%), but does not achieve or assess climate neutrality/net zero emissions.",,yes,,yes,,,yes
10.1021/acs.est.4c00082,yes,,,yes,,yes,,,yes
10.1016/j.scitotenv.2023.166204,yes,,,yes,,yes,,,yes
10.1134/S1028335823070030,yes,,,yes,,yes,,,yes
10.1016/j.energy.2024.132971,no,,,yes,,yes,,"Quantitative modeling (Random Forest) is used for EPC estimation, not to generate climate-neutral pathways or systems.",no
10.1016/j.enpol.2022.112873,yes,,,yes,,yes,,,yes
10.1016/j.envsci.2011.07.011,no,,,yes,,yes,,,yes
10.1016/j.energy.2024.134069,yes,,,yes,,yes,,,yes
10.1007/s43979-023-00065-5,no,,,yes,,yes,,,no
10.1109/CIEEC60922.2024.10583848,no,,"Mentions 'a certain place' but no specific region, country, or area is identified.",unclear,,yes,,,yes
10.1007/978-981-99-8405-3_26,no,The abstract mentions carbon neutrality as a goal but does not actually assess or demonstrate that the Space Data Generator achieves climate-neutral outcomes; it describes a planning tool without modeling/quantifying the pathway to climate neutrality.,"Only generic reference to 'rural areas' globally; no specific country, city, state, province, or district is mentioned.",no,,yes,,"While the tool performs optimization (solar panel placement, crop layout) using data, the abstract does not describe quantitative modeling or scenario analysis specifically designed to generate climate-neutral pathways or systems.",no
10.1007/978-981-19-5837-3_3,unclear,"The abstract discusses analyzing carbon neutrality metrics and emission savings, but does not establish a specific pathway or system configuration that IS verified as climate-neutral.",,yes,,yes,,,yes
10.3389/fsufs.2024.1441118,no,"The abstract discusses factors that suppress agricultural emissions and makes recommendations for emission reduction, but does not present an actual climate-neutral pathway or system configuration that has been modeled or assessed.",,yes,,yes,,,yes
10.1038/s43016-023-00694-0,yes,,,yes,,yes,,,yes
10.1063/1.5034382,yes,,,yes,,yes,,,yes
10.4324/9781003384113-52,unclear,"Abstract mentions net-zero potential but does not clearly demonstrate that either model actually achieves climate neutrality. It examines energy requirements and discusses potential, but doesn't assess a climate-neutral pathway.",,no,,yes,,"Uses comparative analysis with 'energy land' concept, but does not clearly describe quantitative modeling or scenario process that generates climate-neutral pathways. Poses comparative questions rather than describing analysis results.",unclear
10.3390/ijerph192416424,no,"Abstract discusses low-carbon development pathways, not climate-neutral ones. No pathway achieving zero/net zero emissions is presented or modeled.",,yes,,yes,,,yes
10.1016/j.jenvman.2024.122080,no,The abstract analyzes and measures carbon neutrality improvements in G20 countries but does not propose or describe a specific climate-neutral pathway or system configuration.,,yes,,yes,,"Quantitative econometric methods (Malmquist index, stochastic frontier model) are used to analyze historical data, not to generate future climate-neutral pathways or scenarios.",no
10.1016/j.jenvman.2024.121827,no,,,no,,yes,,,yes
10.1051/epjpv/2025023,unclear,"Study investigates renewable energy pathways related to climate targets, but does not explicitly state that the modeled scenarios achieve climate neutrality or zero emissions. Focus is on land use trade-offs rather than confirming climate-neutral system configurations.",,yes,,yes,,,yes
10.1016/j.envpol.2022.120715,no,"Abstract analyzes impacts ON crops under a carbon-neutral scenario, but does not provide or assess a climate-neutral pathway/system configuration itself.",,yes,,yes,,,yes
10.1016/j.jclepro.2024.140952,yes,,,yes,,yes,,,yes
10.3390/rs15205036,no,,,yes,,yes,,,yes
10.1016/j.spc.2024.10.003,no,The abstract assesses current carbon neutrality levels in Chinese provinces but does not propose or model a pathway/system configuration to achieve climate neutrality.,,yes,"Energy consumption structure and ecological land area/carbon sequestration are mentioned, but sectors are not explicitly identified as assessment targets; focus appears holistic at regional level.",unclear,,"While quantitative analysis of current emissions and sequestration is present, no scenario modeling or pathway generation process is described.",no
10.1016/j.renene.2025.122780,no,,,yes,,yes,,,yes
10.1016/j.egyr.2021.08.129,no,,"UK is mentioned in context of agriculture emissions, but the specific location of the studied farm is not explicitly stated.",unclear,,yes,,,yes
10.1145/3768184.3768233,no,"Paper discusses low-carbon transition and uses ML to predict carbon neutrality factors, but does not present an assessed/modeled pathway or system configuration that IS climate-neutral.",,yes,,yes,,"Quantitative ML modeling is present, but used for predicting factors/features, not for generating or modeling climate-neutral pathways or systems.",no
10.1016/j.rser.2025.116147,no,"The system achieves 92% renewable electricity supply and 6.3% gas reduction through hydrogen blending, but does not fully achieve climate neutrality. The abstract states it 'highlights the potential' rather than demonstrating an actual climate-neutral pathway.",,yes,,yes,,,yes
10.1016/j.erss.2021.102124,no,"The abstract discusses net zero and decarbonization pathways but does not present a specific climate-neutral pathway or system configuration. Instead, it analyzes and critiques existing strategies.",,yes,,yes,,,yes
10.3168/jds.2025-26392,no,"Abstract explicitly concludes that 'achieving GHG neutrality over all US dairy farms appears improbable.' Even maximum mitigation strategies only reduce emissions by 70%, falling short of neutrality.",,yes,,yes,,,yes
10.1016/j.energy.2025.134647,no,Abstract mentions 'carbon-neutral pathways' as a goal but explicitly states further research is needed for life cycle assessment and sustainability evaluation. Climate neutrality is not actually assessed or demonstrated.,,yes,,yes,,Study uses quantitative RSM/CCD for process optimization but does not model climate neutral pathways. LCA and sustainability impact assessment are identified as needed future work.,no
10.13227/j.hjkx.202406034,no,,,yes,,yes,,,no
10.3390/en16207103,no,"Study forecasts emissions and identifies peak timelines, but concludes only the electricity sector shows potential for zero emissions by 2060 under extreme scenario. No climate-neutral pathway/system presented.",,yes,,yes,,,yes
10.1016/j.solmat.2026.114196,unclear,"The abstract uses 'carbon-neutral' to describe the device itself, but no system-level climate neutrality pathway is modeled or assessed — it's a material/device study.",,no,,yes,,,yes
10.1073/pnas.2317444121,no,,,yes,,yes,,,yes
10.1134/S0001433824700877,yes,,,yes,,yes,,,yes
10.1016/j.jclepro.2022.132594,yes,,,yes,,yes,,,yes
10.1515/9783111040066,yes,,,yes,,yes,,,no
10.1016/j.landusepol.2020.104955,yes,,,yes,,yes,,,yes
10.1016/j.resconrec.2024.108110,no,,,yes,,yes,,,yes
10.1007/s11367-025-02489-w,no,Abstract reviews LCSAs and identifies GWP reduction strategies but does not provide or validate a specific pathway/system configuration that achieves climate neutrality.,,yes,,yes,,,yes
10.1016/j.energy.2025.139810,no,,,yes,,yes,,,no
10.3389/fsufs.2025.1536850,no,,,yes,,yes,,"This is a bibliometric review analyzing existing literature trends, not quantitative modeling or scenario processes to generate climate-neutral pathways.",no
10.1016/j.rser.2024.114944,unclear,"The study models deep decarbonization (61% energy demand reduction, eliminating reliance on negative emission technologies) but never explicitly states or assesses a climate-neutral or net-zero outcome.",,yes,,yes,,,yes
10.1016/j.cesys.2025.100359,no,,,yes,,yes,,,yes
10.3390/su142214750,yes,,,yes,,yes,,,yes
10.1016/j.scs.2025.106563,yes,,,yes,,yes,,,yes
10.1007/s11027-012-9409-z,no,,,yes,,yes,,,yes
10.3969/j.issn.1674-8530.22.0121,no,,,yes,,yes,,,no
10.3390/en18071787,yes,,,yes,,yes,,,yes
10.1016/j.jup.2025.102098,yes,,,yes,,yes,,,yes
10.1093/af/vfaa035,yes,,,yes,,yes,,,yes
10.1117/12.3040011,no,,,no,,yes,,,no
10.1016/j.scitotenv.2023.166390,no,Abstract discusses potential and pathways to help achieve net zero but does not present an actual modeled climate-neutral pathway or system configuration.,,yes,,yes,,,yes
10.52202/083081-0045,no,,,yes,,yes,,,no
10.1016/j.scitotenv.2023.164116,no,"Abstract discusses CO2 emission reductions and mentions BECCS could promote carbon neutrality in the future, but does not provide an assessed pathway or system configuration that achieves climate neutrality.",,yes,,yes,,,yes
10.1016/B978-0-443-36426-6.00025-3,no,,,no,,yes,,,no
10.1007/s13762-024-06124-3,no,,,yes,,yes,,,yes
10.1109/ICPET59380.2023.10367584,no,,,yes,,yes,,,yes
10.3390/atmos16101173,no,,,yes,,yes,,,no
10.1186/s13021-024-00285-x,no,,,yes,,yes,,,yes
10.3992/jgb.10.3.28,unclear,"Net-Zero Energy is mentioned as a target and modeling was initiated, but the abstract does not confirm the pathway/system was actually achieved or assessed.",,yes,,yes,,"Energy and daylight models are mentioned, but this appears to be performance modeling for a single building rather than quantitative modeling of broader climate-neutral pathways.",unclear
10.1080/00049158.2026.2631777,no,"The abstract discusses the need for achieving net-zero emissions and identifies reforms needed, but does not present an actual climate-neutral pathway or system configuration.",,yes,,yes,,"This is a qualitative keynote address that examines policy and institutional reforms, but contains no quantitative modelling or scenario process.",no
10.3389/fenvs.2022.972563,no,,,yes,,yes,,,yes
10.1016/j.scitotenv.2022.154909,yes,,,yes,,yes,,,yes
10.19741/j.issn.1673-4831.2024.0726,no,Abstract identifies a carbon neutralization implementation route but does not model or assess whether this pathway actually achieves climate neutrality.,,yes,,yes,,"STIRPAT modeling is used to analyze current carbon emission characteristics, not to generate or scenario-test climate neutral pathways.",no
10.1016/j.eiar.2025.107890,no,"The abstract discusses emission reductions and carbon offset standards, but does not present a pathway or system configuration that IS climate-neutral.",,yes,,yes,,,yes
10.1016/j.seta.2024.103954,yes,,,yes,,yes,,,yes
10.1007/978-3-030-78566-6_5,no,"Abstract discusses climate neutrality as a goal and mentions forest industry models addressing it, but does not present an assessed pathway or system configuration that achieves climate neutrality.",,yes,,yes,,"This is a literature survey presenting proposed strategies and policies, but contains no quantitative modeling or scenario analysis to generate climate-neutral pathways.",no
10.12133/j.smartag.SA202304008,no,,,yes,,yes,,,no
10.2478/amns-2024-2916,no,,,no,,yes,,,yes
10.1126/sciadv.adx7823,no,,,yes,,yes,,"Quantitative modeling is present, but used to evaluate current carbon dynamics, not to generate climate-neutral pathways or systems.",no
10.3390/land12112000,no,"Abstract discusses carbon neutrality goals and proposes measures needed to achieve them by 2060, but does not present a confirmed pathway that IS climate-neutral; it concludes measures are 'still needed', implying the current/modeled scenario does not achieve neutrality.",,yes,,yes,,,yes
10.1016/j.ijhydene.2023.07.196,yes,,,yes,,yes,,,yes
10.1111/gcbb.12276,no,"The abstract discusses whether biomass is carbon-neutral but does not establish a climate-neutral pathway. It compares biomass to fossil fuels and notes biomass is 'preferred' under certain discount rates, but this does not mean the system IS climate-neutral.",,yes,,yes,,,yes
10.1016/j.jenvman.2025.126416,yes,,,yes,,yes,,,yes
10.1016/j.egyr.2025.07.038,no,,,yes,,yes,,Review article discussing advancements and future research needs; no quantitative modeling or scenario process reported.,no
10.1016/j.egycc.2025.100209,yes,,,yes,,yes,,,yes
10.1016/j.resconrec.2025.108350,no,Abstract discusses wind power's mitigation potential (938–995 Mt CO2 reduction by 2060) but does not establish a pathway or system configuration that IS climate-neutral.,,yes,,yes,,,yes
10.1016/j.buildenv.2024.112501,yes,,,yes,,yes,,,yes
10.1016/j.inpa.2022.10.004,no,,,yes,,yes,,,no
10.3390/en18061532,unclear,"The high-limit scenario achieves an early carbon peak but carbon neutrality by 2060 is implied as a goal, not explicitly demonstrated as achieved in the results.",,yes,,yes,,,yes
10.1016/j.jobe.2025.114641,unclear,"A zero-energy building is described and monitored for 22 months, but the abstract's primary focus is energy forecasting models rather than assessing/proposing a climate-neutral pathway or configuration.",,yes,,yes,,,yes
10.1002/bbb.2366,yes,,,yes,,yes,,,yes
10.1016/j.scitotenv.2024.174874,no,,,yes,,yes,,,yes
10.52202/065147-0240,no,,,yes,,yes,,,no
10.14042/j.cnki.32.1309.2026.01.007,no,,,yes,,yes,,,yes
10.1111/gcbb.70017,no,,,yes,,yes,,,yes
10.1016/j.energy.2023.128643,unclear,"The study models pathways toward reducing emissions and mentions 'climate neutrality' as a goal, but the most favourable scenario still results in net positive cumulative emissions (1725.93 MtCO2eq), so no actually climate-neutral pathway is demonstrated.",,yes,,yes,,,yes
10.3390/eng7020073,no,The framework predicts carbon performance but does not provide a pathway or system configuration that achieves climate neutrality.,,yes,,yes,,,yes
10.1016/j.enconman.2025.120339,no,Abstract addresses low-carbon energy transition but does not establish that the pathway is climate-neutral or net zero. Low-carbon is distinct from climate-neutral.,,yes,,yes,,,yes
10.3368/le.91.2.197,no,,,yes,,yes,,,yes
10.1016/j.agsy.2024.103852,yes,,,yes,,yes,,,yes
10.12357/cjea.20220267,no,"Abstract discusses emission reduction scenarios but shows only percentage decreases (10.89-12.89% by 2025), not achievement of climate neutrality or net-zero emissions",,yes,,yes,,,yes
10.16085/j.issn.1000-6613.2021-0179,no,,,yes,,yes,,Abstract discusses strategic directions and pathways qualitatively but provides no quantitative modeling or scenario analysis.,no
10.1016/j.jclepro.2018.10.102,no,"The abstract describes a carbon accounting methodology to assess emissions and support decision-making toward carbon neutrality, but does not present an actual climate-neutral pathway or system configuration that has been assessed or modeled.",,yes,,yes,,,yes
10.1007/s13762-025-06418-0,no,,,yes,,yes,,,yes
10.3390/en16217459,yes,,,yes,,yes,,,yes
10.1016/j.seta.2025.104652,no,The abstract assesses green hydrogen production potential from surplus renewable energy but does not present or model a complete climate-neutral pathway or system configuration.,,yes,,yes,,,yes
10.1016/j.foreco.2012.02.037,yes,,,yes,,yes,,,yes
10.1080/01944360802380431,no,,,yes,,yes,,,yes
10.1016/j.landusepol.2021.105861,no,The abstract analyzes barriers to climate-smart adoption but does not present an actual climate-neutral pathway or system configuration.,,yes,,yes,,,yes
10.1016/j.biombioe.2025.108334,no,,,yes,,yes,,,yes
10.3390/land12061266,no,,,yes,,yes,,,yes
10.13031/aim.202100876,yes,,,yes,,yes,,,yes
10.1021/acs.est.5c12746,no,,,yes,,yes,,,no
10.1016/j.apenergy.2021.117263,yes,,,yes,,yes,,,yes
10.5593/sgem2025/5.1/s20.073,no,,,yes,,yes,,,no
10.13225/j.cnki.jccs.2024.0844,no,,,yes,,yes,,,yes
10.1016/j.biombioe.2025.108267,no,,,yes,,yes,,,yes
10.15961/j.jsuese.202100627,yes,,,yes,,yes,,,yes
10.1016/j.apenergy.2019.01.214,no,"Study assesses biofuel potential of sweet sorghum but does not model or assess a complete pathway/system that IS climate-neutral. Only mentions that biofuel 'will play an important role' in carbon-neutral fuel supply (aspirational, not modeled).",,yes,,yes,,,yes
10.2118/221630-MS,yes,,,yes,,yes,,,yes
10.1109/ISBDAS64762.2025.11117018,no,,,yes,,yes,,,no
10.1016/j.enpol.2023.113470,no,,,yes,,yes,,,yes
